trip_id,arrival_time,departure_time,stop_id,stop_sequence
M1_outbound,07:00:00,07:00:00,stop_1,1
M1_outbound,07:03:00,07:03:00,stop_2,2
M1_outbound,07:06:00,07:06:00,stop_3,3
M1_outbound,07:09:00,07:09:00,stop_4,4
M1_outbound,07:12:00,07:12:00,stop_5,5
M1_outbound,07:15:00,07:15:00,stop_6,6
M1_outbound,07:18:00,07:18:00,stop_7,7
M1_outbound,07:21:00,07:21:00,stop_8,8
M1_outbound,07:24:00,07:24:00,stop_9,9
M1_outbound,07:27:00,07:27:00,stop_10,10
M1_outbound,07:30:00,07:30:00,stop_11,11
M1_outbound,07:33:00,07:33:00,stop_12,12
M1_outbound,07:36:00,07:36:00,stop_13,13
M1_inbound,07:00:00,07:00:00,stop_12,1
M1_inbound,07:03:00,07:03:00,stop_13,2
M1_inbound,07:06:00,07:06:00,stop_11,3
M1_inbound,07:09:00,07:09:00,stop_14,4
M1_inbound,07:12:00,07:12:00,stop_15,5
M1_inbound,07:15:00,07:15:00,stop_8,6
M1_inbound,07:18:00,07:18:00,stop_16,7
M1_inbound,07:21:00,07:21:00,stop_17,8
M1_inbound,07:24:00,07:24:00,stop_18,9
M1_inbound,07:27:00,07:27:00,stop_4,10
M1_inbound,07:30:00,07:30:00,stop_3,11
M1_inbound,07:33:00,07:33:00,stop_19,12
M1_inbound,07:36:00,07:36:00,stop_1,13
